Warehouse id,SKU id,MAPE,Details
Wh-1,SKU-19,0.3559996430542814,Forecast successful
Wh-1,SKU-190,3.430222858677535,Forecast successful
Wh-1,SKU-191,0.34039360202071345,Forecast successful
Wh-1,SKU-192,0.3259008163021595,Forecast successful
Wh-1,SKU-193,0.5730383270750763,Forecast successful
Wh-1,SKU-194,3.4604617477764763,Forecast successful
Wh-1,SKU-195,0.2098601496844947,Forecast successful
Wh-1,SKU-196,7.129075585324872,Forecast successful
Wh-1,SKU-197,0.3971377675183363,Forecast successful
Wh-1,SKU-198,0.7073254916208309,Forecast successful
Wh-1,SKU-199,9.53360404551181,Forecast successful
Wh-1,SKU-2,1.4740091194778115,Forecast successful
Wh-1,SKU-20,1.4713247359813495,Forecast successful
Wh-1,SKU-200,0.23717433360121043,Forecast successful
Wh-1,SKU-201,0.167033071719681,Forecast successful
Wh-1,SKU-202,0.20359925070544604,Forecast successful
Wh-1,SKU-203,0.6045480883371689,Forecast successful
Wh-1,SKU-204,0.24521553337080904,Forecast successful
Wh-1,SKU-205,1.2549992000236319,Forecast successful
Wh-1,SKU-206,69.40308959165465,Forecast successful
Wh-1,SKU-207,5.396646897277201,Forecast successful
Wh-1,SKU-208,0.09101196802176803,Forecast successful
Wh-1,SKU-209,2.6083690936577497,Forecast successful
Wh-1,SKU-21,0.5926818903521435,Forecast successful
Wh-1,SKU-210,0.828727522667234,Forecast successful
Wh-1,SKU-211,6.394971009994012,Forecast successful
Wh-1,SKU-212,1.1547583349941821,Forecast successful
Wh-1,SKU-213,1.7134255807781724,Forecast successful
Wh-1,SKU-214,4.337236111392773,Forecast successful
Wh-1,SKU-215,3.742972738267299,Forecast successful
Wh-1,SKU-216,0.6065165380356717,Forecast successful
Wh-1,SKU-217,1.0775976481611291,Forecast successful
Wh-1,SKU-218,0.7178532413839015,Forecast successful
Wh-1,SKU-219,0.5605412063064911,Forecast successful
Wh-1,SKU-22,0.6427571425134954,Forecast successful
Wh-1,SKU-220,1.4177522404225227,Forecast successful
Wh-1,SKU-221,2.573769048702022,Forecast successful
Wh-1,SKU-222,2.5224729076300023,Forecast successful
Wh-1,SKU-223,1.75044341867229,Forecast successful
Wh-1,SKU-224,5.92452064342825,Forecast successful
Wh-1,SKU-225,13.064235417108964,Forecast successful
Wh-1,SKU-226,1.8704492334742249,Forecast successful
Wh-1,SKU-227,0.24744250287048403,Forecast successful
Wh-1,SKU-228,0.7330474478679524,Forecast successful
Wh-1,SKU-229,2.3468248661118225,Forecast successful
Wh-1,SKU-23,1.3932158007408026,Forecast successful
Wh-1,SKU-230,17.61794221085381,Forecast successful
Wh-1,SKU-231,0.5170088562768678,Forecast successful
Wh-1,SKU-232,3.1960937675065715,Forecast successful
Wh-1,SKU-233,1.8826540815068327,Forecast successful
Wh-1,SKU-24,0.5017879816696741,Forecast successful
Wh-1,SKU-25,3.3919841769668326,Forecast successful
Wh-1,SKU-26,0.4972856919345302,Forecast successful
Wh-1,SKU-27,0.2888419131812236,Forecast successful
Wh-1,SKU-28,0.23124547496451553,Forecast successful
Wh-1,SKU-29,0.5959576870213288,Forecast successful
Wh-1,SKU-3,0.2819171346259491,Forecast successful
Wh-1,SKU-30,5.129536234239318,Forecast successful
Wh-1,SKU-31,4.733048896198169,Forecast successful
Wh-1,SKU-32,1.501134024900501,Forecast successful
Wh-1,SKU-33,0.3664478140164809,Forecast successful
Wh-1,SKU-34,1.9066311069405328,Forecast successful
Wh-1,SKU-35,0.18766700146653936,Forecast successful
Wh-1,SKU-36,1.775862851131442,Forecast successful
Wh-1,SKU-37,3.2844585527377834,Forecast successful
Wh-1,SKU-38,1.6413406263644,Forecast successful
Wh-1,SKU-39,3.869843855362988,Forecast successful
Wh-1,SKU-4,0.9571020708405783,Forecast successful
Wh-1,SKU-40,1.429944611194058,Forecast successful
Wh-1,SKU-41,0.9970926567465653,Forecast successful
Wh-1,SKU-42,0.9255533754490948,Forecast successful
Wh-1,SKU-43,3.127010516454727,Forecast successful
Wh-1,SKU-44,0.4876004733628517,Forecast successful
Wh-1,SKU-45,2.0367603390079427,Forecast successful
Wh-1,SKU-46,1.338742951075293,Forecast successful
Wh-1,SKU-47,12.992498929569074,Forecast successful
Wh-1,SKU-48,1.3150635163405386,Forecast successful
Wh-1,SKU-49,14.314718500633703,Forecast successful
Wh-1,SKU-5,3.9127091907054194,Forecast successful
Wh-1,SKU-50,0.7276353665946366,Forecast successful
Wh-1,SKU-51,2.4586602999277822,Forecast successful
Wh-1,SKU-52,0.8741901243924671,Forecast successful
Wh-1,SKU-53,1.4888800474956068,Forecast successful
Wh-1,SKU-54,0.33576607430594946,Forecast successful
Wh-1,SKU-55,0.4052782948683391,Forecast successful
Wh-1,SKU-56,0.29432253020902727,Forecast successful
Wh-1,SKU-57,0.9173594757799076,Forecast successful
Wh-1,SKU-58,0.6428267408223188,Forecast successful
Wh-1,SKU-59,1.5925687479614445,Forecast successful
Wh-1,SKU-6,3.506292602570992,Forecast successful
Wh-1,SKU-60,5.258431987461499,Forecast successful
Wh-1,SKU-61,31.607299668673214,Forecast successful
Wh-1,SKU-62,1.7210509409091024,Forecast successful
Wh-1,SKU-63,0.5097222036448992,Forecast successful
Wh-1,SKU-64,0.697268005795998,Forecast successful
Wh-1,SKU-65,1.1390917086746797,Forecast successful
Wh-1,SKU-66,1.518477724696943,Forecast successful
Wh-1,SKU-67,0.505834822603434,Forecast successful
Wh-1,SKU-68,0.772657494525085,Forecast successful
Wh-1,SKU-69,0.8643226845429033,Forecast successful
Wh-1,SKU-7,16.674522184857356,Forecast successful
Wh-1,SKU-70,0.8926374429341436,Forecast successful
Wh-1,SKU-71,2.0017640959196834,Forecast successful
Wh-1,SKU-72,0.8128344435106258,Forecast successful
Wh-1,SKU-73,0.8199725671560176,Forecast successful
Wh-1,SKU-74,4.7515464177752795,Forecast successful
Wh-1,SKU-75,0.5310112479884904,Forecast successful
Wh-1,SKU-76,0.08724444276477061,Forecast successful
Wh-1,SKU-77,1.8995484501677649,Forecast successful
Wh-1,SKU-78,1.9151688653467835,Forecast successful
Wh-1,SKU-79,3.9787713687298423,Forecast successful
Wh-1,SKU-8,4.376139054208423,Forecast successful
Wh-1,SKU-80,3.1546239853680986,Forecast successful
Wh-1,SKU-81,1.724117550167893,Forecast successful
Wh-1,SKU-82,1.1378970664198302,Forecast successful
Wh-1,SKU-83,0.7547536972050914,Forecast successful
Wh-1,SKU-84,3.9807435599257777,Forecast successful
Wh-1,SKU-85,31.472318998654618,Forecast successful
Wh-1,SKU-86,0.7582987823224275,Forecast successful
Wh-1,SKU-87,0.06789192398099317,Forecast successful
Wh-1,SKU-88,1.4747818991734203,Forecast successful
Wh-1,SKU-89,2.59206855747757,Forecast successful
Wh-1,SKU-9,1.0334410370506038,Forecast successful
Wh-1,SKU-90,1.4348365327589583,Forecast successful
Wh-1,SKU-91,1.4642741079921533,Forecast successful
Wh-1,SKU-92,1.800602632698857,Forecast successful
Wh-1,SKU-93,1.1886232528703082,Forecast successful
Wh-1,SKU-94,1.0375244544133988,Forecast successful
